扁霖斥岿,堡开瘤磊眉,吝盒幅,瘤免咀,傈斥档 瘤免咀
201801,面没合档,醚家厚,6.8024317E7,0.0
201801,面没合档,能档,500702.0,0.0
201801,面没合档,龋炮,244153.0,0.0
201801,面没合档,姆俏厘/奇记,4237.0,0.0
201801,面没合档,扁鸥槛冠,2011118.0,0.0
201801,面没合档,咯青诀,33610.0,0.0
201801,面没合档,腊惑款价,5675.0,0.0
201801,面没合档,荐惑款价,3041.0,0.0
201801,面没合档,亲傍款价,39020.0,0.0
201801,面没合档,坊磐墨,23186.0,0.0
201801,面没合档,搁技痢,63205.0,0.0
201801,面没合档,包堡扁充前,90163.0,0.0
201801,面没合档,饭历侩前碱俏,6697758.0,0.0
201801,面没合档,措屈碱俏隔,1.3985678E7,0.0
201801,面没合档,包堡蜡盔矫汲,60928.0,0.0
201801,面没合档,榜橇厘,964270.0,0.0
201801,面没合档,扁鸥饭历,784264.0,0.0
201801,面没合档,巩拳辑厚胶,714426.0,0.0
201801,面没合档,侥澜丰,4.1798885E7,0.0
201802,面没合档,醚家厚,6.8413326E7,0.0
201802,面没合档,龋炮,240554.0,0.0
201802,面没合档,能档,501383.0,0.0
201802,面没合档,姆俏厘/奇记,5674.0,0.0
201802,面没合档,扁鸥槛冠,1842470.0,0.0
201802,面没合档,咯青诀,37597.0,0.0
201802,面没合档,腊惑款价,5903.0,0.0
201802,面没合档,荐惑款价,2693.0,0.0
201802,面没合档,亲傍款价,32725.0,0.0
201802,面没合档,坊磐墨,29367.0,0.0
201802,面没合档,搁技痢,42811.0,0.0
201802,面没合档,包堡扁充前,98251.0,0.0
201802,面没合档,饭历侩前碱俏,6639065.0,0.0
201802,面没合档,措屈碱俏隔,1.5813516E7,0.0
201802,面没合档,包堡蜡盔矫汲,64565.0,0.0
201802,面没合档,榜橇厘,1693252.0,0.0
201802,面没合档,扁鸥饭历,744435.0,0.0
201802,面没合档,巩拳辑厚胶,517883.0,0.0
201802,面没合档,侥澜丰,4.0101182E7,0.0
201803,面没合档,醚家厚,8.4831955E7,0.0
201803,面没合档,能档,346507.0,0.0
201803,面没合档,龋炮,231708.0,0.0
201803,面没合档,姆俏厘/奇记,8188.0,0.0
201803,面没合档,扁鸥槛冠,2114070.0,0.0
201803,面没合档,咯青诀,100560.0,0.0
201803,面没合档,腊惑款价,12620.0,0.0
201803,面没合档,荐惑款价,24318.0,0.0
201803,面没合档,亲傍款价,39520.0,0.0
201803,面没合档,坊磐墨,39858.0,0.0
201803,面没合档,搁技痢,17093.0,0.0
201803,面没合档,包堡扁充前,116748.0,0.0
201803,面没合档,饭历侩前碱俏,8943755.0,0.0
201803,面没合档,措屈碱俏隔,1.5763374E7,0.0
201803,面没合档,包堡蜡盔矫汲,99114.0,0.0
201803,面没合档,榜橇厘,6546739.0,0.0
201803,面没合档,扁鸥饭历,870567.0,0.0
201803,面没合档,巩拳辑厚胶,474324.0,0.0
201803,面没合档,侥澜丰,4.9082891E7,0.0
201804,面没合档,醚家厚,8.6633415E7,0.0
201804,面没合档,能档,460592.0,0.0
201804,面没合档,龋炮,249136.0,0.0
201804,面没合档,姆俏厘/奇记,9417.0,0.0
201804,面没合档,扁鸥槛冠,2175409.0,0.0
201804,面没合档,咯青诀,55758.0,0.0
201804,面没合档,腊惑款价,16909.0,0.0
201804,面没合档,荐惑款价,91588.0,0.0
201804,面没合档,亲傍款价,36786.0,0.0
201804,面没合档,坊磐墨,31540.0,0.0
201804,面没合档,搁技痢,31213.0,0.0
201804,面没合档,包堡扁充前,119967.0,0.0
201804,面没合档,饭历侩前碱俏,8874674.0,0.0
201804,面没合档,措屈碱俏隔,1.4492622E7,0.0
201804,面没合档,包堡蜡盔矫汲,128022.0,0.0
201804,面没合档,榜橇厘,8535347.0,0.0
201804,面没合档,扁鸥饭历,823601.0,0.0
201804,面没合档,巩拳辑厚胶,533282.0,0.0
201804,面没合档,侥澜丰,4.9967552E7,0.0
201805,面没合档,醚家厚,9.430942E7,0.0
201805,面没合档,能档,607370.0,0.0
201805,面没合档,龋炮,276614.0,0.0
201805,面没合档,姆俏厘/奇记,14044.0,0.0
201805,面没合档,扁鸥槛冠,2423637.0,0.0
201805,面没合档,咯青诀,48809.0,0.0
201805,面没合档,腊惑款价,17252.0,0.0
201805,面没合档,荐惑款价,99335.0,0.0
201805,面没合档,亲傍款价,38600.0,0.0
201805,面没合档,坊磐墨,29615.0,0.0
201805,面没合档,搁技痢,43856.0,0.0
201805,面没合档,包堡扁充前,155222.0,0.0
201805,面没合档,饭历侩前碱俏,9246345.0,0.0
201805,面没合档,措屈碱俏隔,1.5509773E7,0.0
201805,面没合档,包堡蜡盔矫汲,186018.0,0.0
201805,面没合档,榜橇厘,9962222.0,0.0
201805,面没合档,扁鸥饭历,923476.0,0.0
201805,面没合档,巩拳辑厚胶,603956.0,0.0
201805,面没合档,侥澜丰,5.4123277E7,0.0
201806,面没合档,醚家厚,8.776821E7,0.0
201806,面没合档,能档,556881.0,0.0
201806,面没合档,龋炮,253654.0,0.0
201806,面没合档,姆俏厘/奇记,10927.0,0.0
201806,面没合档,扁鸥槛冠,2220051.0,0.0
201806,面没合档,咯青诀,41143.0,0.0
201806,面没合档,腊惑款价,10275.0,0.0
201806,面没合档,荐惑款价,81957.0,0.0
201806,面没合档,亲傍款价,42144.0,0.0
201806,面没合档,坊磐墨,25450.0,0.0
201806,面没合档,搁技痢,44522.0,0.0
201806,面没合档,包堡扁充前,126603.0,0.0
201806,面没合档,饭历侩前碱俏,7550474.0,0.0
201806,面没合档,措屈碱俏隔,1.4342447E7,0.0
201806,面没合档,包堡蜡盔矫汲,158004.0,0.0
201806,面没合档,榜橇厘,1.0567447E7,0.0
201806,面没合档,扁鸥饭历,873632.0,0.0
